"Dealer Name","Address","City","State","Contact"
"M Chowdary Motors","Sai Baba Temple, Opposite Tirupathi Road","Chittoor","Andhra Pradesh","8500695129"
"Alavala Motors","Amaravathi Road, Opp Ala Hospital","Guntur","Andhra Pradesh","9030745667"
"Mahima Motors","Survey No: 455-2, Beside Sri Ram Temple Chennamma Circle","Kurnool","Andhra Pradesh","9398742347"
"Niki Motors","Beside Best Western Hotel, Renigunta Road","Tirupati","Andhra Pradesh","9703427480"
"Populare Vespa","NTR Circle, Benz Circle","Vijaywada","Andhra Pradesh","9985650819"
"Ora Motors - Kailasapuram","45-58-18-1, Rajeshwari Plaza, Narasimhanagar","Visakhapatnam","Andhra Pradesh","7799711370"
"Ora Motors - Pendurthi","10-47, Papayyaraju Palem, Near Corporation Bank, Sujathanagar","Visakhapatnam","Andhra Pradesh","7799711370 ,  7799711372"
"Ora Motors - Pedda Waltair","Near Polamamba Temple, Old CBI Rd, VSP","Visakhapatnam","Andhra Pradesh","7799019686"
"Ora Motors - Pandurangapuram","G1, ATR Towers, Harbour Park Road","Visakhapatnam","Andhra Pradesh","7799711370"
"Ora Motors - Gajuwaka","26-17-26,1, Beside NH-5, Chinagantyada","Visakhapatnam","Andhra Pradesh","8885549596 ,  7799019681"
"GM Vespa","Srimanta Sankardev path, Dispur, Guwahati","Guwahati","Assam","7575917646"
"Far East Auto","Eureka Tower, Chandmari ""U"" Turn, Rg Baruah Road","Guwahati","Assam","8811086564"
"Car Drome","Sonai Road, Opp UBI Bank, National Highway 54","Silchar","Assam","7578008011"
"Orkaram Vespa","Vaishali Bangla, Bibiganj Jai Mata Di Bus Adda, Bishundatpur","Muzaffurpur","Bihar","7857851234"
"Yash Raj Motors","Old Bypass Road, Agamkuan opposite of kumhrar park","Patna","Bihar","7707010008"
"Auto Moda","Hotel Jaysarmin Complex, Below Mahabir Eye Hospital,  Kankarbagh Main Road","Patna","Bihar","9905911222"
"Heritage Auto Sales","Sco144  145,Sec  43 B, Himalayan Marg","Chandigarh","Chandigarh","17124690001"
"Shriram Automotive","Manendragarh Road","Ambikapur","Chhattisgarh","7000827548"
"Vardhman Vespa","G. E road , In front of raj kumar college, Geeta Nagar","Raipur","Chhattisgarh","7869613141"
