"Dealer Name","Address","City","State","Pincode","Phone 1","Phone 2","Mobile 1","Mobile 2","Email 1","Email 2","Email 3"
"LMS Hyundai","Haddo Main Road, Port Blair, Andaman & Nicobar Islands, Haddo Main Road, Port Blair, Andaman & Nicobar Islands - 744103","Port Blair","Andaman & Nicobar Islands","744103","","","","","lmshyundaisales@gmail.com","",""
"Kun Hyundai","Shop No 5,6,7 Near Sri Venkat Rrakash Reddy Swara Swamy Temple, Tirumal nagar Adoni - 518302, Tirumal nagar, Adoni, Andhra Pradesh - 518302","Adoni","Andhra Pradesh","518302","8512230167","","8886885096","","kunrsoadoni@gmail.com","",""
"Sri Jayalakshmi Hyundai","8-4-41/1, Moberlipeta Satya Complex Opp. Andhra Bank, Opp. Andhra Bank, Amalapuram, Andhra Pradesh - 533201","Amalapuram","Andhra Pradesh","533201","8856234411","","8096666399","","lakshmiamprso@gmail.com","",""
"Lakshmi Hyundai","#10-20-60,vegi plaza, opp. NTR market, ring road, anakapalli-531002 , Opp NRT Market Yard ringroad, Anakapalle, Andhra Pradesh - 531036","Anakapalle","Andhra Pradesh","531036","8924232223","","8096666538","","lakshmisalesakp@gmail.com","",""
"KUN Hyundai","#111/6B,OPP:ISCKON Temple,NH-44,somuladoddi(v),Anantapur-515001, Opp. ISKON Temple, Anantpur, Andhra Pradesh - 515001","Anantpur","Andhra Pradesh","515001","8554297025","","8886885096","","kunitedatp1@gmail.com","",""
"Kusalava Hyundai","6-225 MAHADEVAPATNAM X ROAD,UNDI ROAD BHIMAVARAM-534204, Undi Road, Bhimavaram, Andhra Pradesh - 201534","Bhimavaram","Andhra Pradesh","201534","8816223580","","9866175390","9866175390","bvrmsales@kusalava.com","",""
"KUSALAVA HYUNDAI","""D.no:104/A ,Near Nannapaneni Kalyana Mandapam, Near Bus Stand, Nrt Center,, Chilakaluripeta, Chilakaluripeta, Andhra Pradesh - 522616","Chilakaluripeta","Andhra Pradesh","522616","","","8328312260","","kusalavaguntur@gmail.com","",""
"Sri Chakra Hyundai","Sadanandrao campus, Santhi theater Road, Near Santhi Theater, Chirala, Andhra Pradesh - 523155","Chirala","Andhra Pradesh","523155","8592246628","","9949075369","","srichakra@kusalava.com","",""
"R K Hyundai","4-2044, Vellore Road, Opp. N.P. Savithri Amma Govt. Womens College, Chittoor, Vellore Road, Chittoor, Andhra Pradesh - 517507","Chittoor","Andhra Pradesh","517507","8572240679","","9533873666","","rkhyundai.sales@gmail.com","",""
"Kusalava Hyundai","OPP USHA TOWERS ,SATRAMPADU, ELURU 08812-234646, Satarampadu, Eluru, Andhra Pradesh - 534001","Eluru","Andhra Pradesh","534001","","","9866662355","9347473666","bvrmsales@kusalava.com","",""
"Sai Swarna Hyundai","D No 612 Muncipal ward Pammanu Road Opp Food gadloxes Gudiwada, Pammanu Road, Gudivada, Andhra Pradesh - 521301","Gudivada","Andhra Pradesh","521301","","","9581081234","9581251234","gdv.saiswarnahyundai@gmail.com","",""
"Kusalava Hyundai","Plot no. 558, Indira Autonagar, Guntur  - 522001, Auto nagar, Guntur, Andhra Pradesh - 522001","Guntur","Andhra Pradesh","522001","8632331920","","8632331920","9866672302","gntsales@kusalava.com","",""
"Kusalava Hyundai","PLOT NO:AB1&AB2 APIIC  INDUSTRIAL PARK NEAR FOOD PLAZA,NH-9 JAGGAYYAPETA-521175, Kodada Road, Jaggayyapeta, Andhra Pradesh - 521175","Jaggayyapeta","Andhra Pradesh","521175","","","9030467888","9347473666","hynsales@kusalava.com","",""
