"Dealer Name","Address","City","State","Pincode","Contact","Email"
"Concept Motorcar Pvt Ltd","1st Floor, Signature - 1, Nr YMCA Club, Makarba Sarkhej Gandhinagar High Way","Ahmedabad","Gujrat","380051","7878606000, 9825327060 ","salesmanager@conceptjeep.in"
"KHT Agencies Private Limited","92/93 Amar Jyothi Layout, Koramangala Inner Ring road,","Bengaluru","Karnataka","560071","080-49363636, 8861202059, 8494900999","branchhead@khtprime.com"
"KHT Agencies Private Limited","Old No.15A, New No.44, Industrial Suburb Service Road, Leading to Tumkur Road, RMC Yard Post, Opposite to shell petrol bunk, Yeshwantpur,","Bengaluru","Karnataka","560022","080-49363636, 9071486111, 9071779924","branchhead2@khtprime.com"
"VTK Automobiles Private limited","8/179, Kodambakkam High road, Nungambakkam,","Chennai","Tamil Nadu","600034","044-2822 4411, 044-2822 4422","sales@vtk-fca.com"
"GMA Pinnacle Automotives Private Limited","NH-47, Thaikkattukara-P O, Ernakulam, Opp: Metro Rail Yard - Muttom, Thaikkattukara","Cochin","Kerala","683106","7559997777, 7559997705, 8111995001","sales@pinnaclejeep.com"
"Celica Automobiles Private Limited","Shop No. B, Ground Floor of Annex Building, 24, Park Street","Kolkata","West Bengal","700016","03346006464, 9073388896","crm@celica.in; info@celica-fca.com; crm@celica-fca.com; sales.head@celica-fca.com"
"Landmark Lifestyle Cars Pvt Ltd","Ground floor, D wing, Shivsagar Estate, Dr Annie Besant Road, Worli","Mumbai","Maharashtra","400018","7045877721, 7045877737","salesmanager.worli@landmarkjeep.in, crmsales.mumbai@landmarkjeep.in, vijay.rajput@landmarkindia.net"
"Landmark Lifestyle Cars Pvt Ltd","Peninsula Heights, C.D. Barfiwala Marg, Juhu lane, Andheri (W)","Mumbai","Maharashtra","400058","8291914910, 7045877737, 9833555574","gmsales.andheri@landmarkjeep.in, salesmanager.andheri@landmarkjeep.in, crmsales.mumbai@landmarkjeep.in"
"Landmark Lifestyle Cars Pvt Ltd","D5, Block No. B1,Mohan Cooperative Industrial Area, Mathura Road,","New Delhi","Delhi","110044","9510995000","jeepenquiry@landmarkjeep.in"
"Landmark Lifestyle Cars Pvt Ltd","Plot No. 10 A, Moti Nagar, Opp. L & T, Najafgarh Rd, Karampura Industrial Area,","New Delhi","Delhi","110015","9510995000","enquiry@landmarkjeep.in"
"Kalyan Automart Private Limited","Near Mango Hotel, Opp Bhagwati Dhaba Sikandra, Bye Pass Road,","Agra","Uttar Pradesh","282007","9837045971, 9837045973","kalyanjeep@kalyangroup.com"
"Eldee Motors Pvt Ltd","2, Sardar Patel Marg, Civil Lines,","Allahabad","Uttar Pradesh","211001","7052888300, 9454696520","eldee.fca@gmail.com"
"Varada Vehicle Pvt Ltd","Shop No G-72/73, Prozone Mall, P-80, MIDC, Chikalthana,","Aurangabad","Maharashtra","431006","0240-6420006, 9850533366","gmsales@varada-fca.com"
"Sutaria Automobiles","Plot # 1M, Bauxite Road, Kangrali Industrial Area,","Belgaum","Karnataka","590010","7090041111","sutariafiat@gmail.com"
"Shree Bharat Motors Limited","NH-5, Pahal,","Bhubaneswar","Odisha","752101","8599011520, 8599011519 ","fiat@bharats.in, crmsales@bharats-fca.com, ashishbathla@bharats-fca.com"
"Kvr Motor Cars Pvt. Ltd","Building No-1/3446 F, Chakkorathukulam, Near Kanakalaya Bank, West Hill (PO), Kozhikode","Calicut","Kerala","673005","9605733311","shinoj.pn@kvr-fca.com"
