Dealer Name,Address,City,State,Contact
"MG Brothers, NH44, Bangalore Hwy","1-374, NH44, Bangalore Hwy,, Kakkalapalli Vill,, Anantapur 515002",Anantpur,Andhra Pradesh,8333099186
"Simha Kia, Undi Highway","SY No:140/2B, Pedamiram Undi Road,, Near Agriculture Check post,, Bhimavaram – 534202",Bhimavaram,Andhra Pradesh,7331122044
"Simha Kia, Indira Autonagar","Plot No. 2, Block No. 4, Phase IV, Autonagar, Guntur",Guntur,Andhra Pradesh,7331122066
"MG Brothers, Kurnool","Sy No. 187/1, NH44, Hyderabad Hwy,, Peddatekuru Vill, Kallur Mandal,, Kurnool Dist 518218",Kurnool,Andhra Pradesh,9492581344
"Hoshi Auto, Kakuturu(V)","48-A1,Kolkata to Chennai High way,, Kakuturu(V),Venkatachalam(M) P S R Nellore (Dist),524320",Nellore,Andhra Pradesh,8688829729
"Kantipudi Kia, Lalacheruvu","Plot No:4, Block NO:4, Gandhipuram -4, B, haskar Nagar, Lalacheruvu, Rajahmundry",Rajahmundry,Andhra Pradesh,9015112345
"Hoshi Auto, Bangalore byepass","Hitec Nissan, 714/ 2B, Tukivakam, 200 ft, . Chennai, Bangalore Bypass, Chittur Tirupathi",Tirupati,Andhra Pradesh,8688829739
"Simha Kia, Ramachandra Nagar","D. No. 48-10-12A, Opp NTR Health ,, University Ramachandra Nagar,, Vijaywada",Vijayawada,Andhra Pradesh,7331122055
"Lakshmi Kia, Birla junction","#38-39-66, Birla Junction, N.H-5 Road, Visakhapatnam-530007",Vishakhapatnam,Andhra Pradesh,7997916999
"Meridian Motors, Nalapara","NH 37, Near Akash Hyundai,, Guwahat, Assam",Guwahati,Assam,6901273730
"Amar Jyoti, Exhibition Road","Pandey Plaza, Exhibition Road, Patna, 800001",Patna,Bihar,8102922001
"Joshi Kia, Industrial area, Phase 1","PLOT NO.16,INDUSTRIAL AREA,PHASE-1,CHANDIGARH-160002",Chandigarh,Chandigarh,7087000111
"Sairam Wheels, Tatibandh","Khasra No. 168/2, GE Road, NH-6, Raipur",Raipur,Chhattisgarh,8047110051
"Frontier Kia, Safdarjung","A2/8, Safdarjung Enclave, New Delhi 110029",Delhi,Delhi,9873943152
"JAYANTI KIA, LAJPAT NAGAR","B-33, LAJPAT NAGAR 2, NEW DELHI, NEW DELHI, DELHI",Delhi,Delhi,7290070428
