"Dealer Name","Address","City","State","Contact","Email"
"DD Motors","67/5 New Rohtak Road, Karol Bagh, New Delhi 110005","DELHI","DELHI","9081900800","ceo@nexa.com"
"Fairdeal Cars","UNIT NO. 33 GROUND FLOOR, PARVSNATH METRO MALL, AKSHARDHAM METRO STATION","DELHI","DELHI","9999525161","nexa@fairdealvehicles.com"
"AAA Vehicleades Pvt Ltd","Plot No. 30, Shivaji Marg, Najafgarh Road, Moti Nagar – 110015","DELHI","DELHI","+91-8448993400","Saleshead.nexa@aaavehicleades.in"
"TR Sawhney Automobiles","F-26,Preet Vihar,Vikas Marg","DELHI","DELHI","7290091122","tdm.pv@trsawhneyautomobiles.com"
"RANA MOTORS PVT LTD","B4, GT Karnal Road Industrial Area, New Delhi-110033","DELHI","DELHI","7289999111","nexa.gtk@ranamotors.in"
"Bagga Link Motors","31, Lajpat Nagar, Part 4, Ring Road, Opposite Vinobhapuri Metro Station, New Delhi","DELHI","DELHI","9818199367","nexahead@baggalinkmaruti.com"
"TR Sawhney Automobiles","A4 green park, main aurobindo marg, new delhi 16","DELHI","DELHI","7290099520","nexa.gp@trsawhneyautomobiles.com"
"TR Sawhney Automobiles","Plot No. 6, Block No. A-1,Rajauri Garden, New Delhi 110027","DELHI","DELHI","9999525750","sm.rg@trsawhneyautomobiles.com"
"Rana Motors","A-3,KAILASH COLONY,New Delhi","DELHI","DELHI","9999788886","nexa@ranamotors.in"
"Competent Automobiles","Plot No. 9/3, in Block A, Wazirpur Industrial Area, Delhi -110052, India","DELHI","DELHI","9582668646","scross@competent-maruti.com"
"Magic Ghazipur","B5 Ghazipur village, near Bharat Petrol Pump opposite Pearl Grand, Delhi ÃƒÂ» 110096","DELHI","DELHI","8929400503","Sales.gp@magicmaruti.com"
"Krish Automobiles","A-23 Maya Puri Ind Area Phase 2. Opp New Era Public School. New Delhi","DELHI","DELHI"," 7838555076","nexa.anand@amarcars.net"
"Competent Automobiles","Competent Automobiles Co.Ltd. 18/19, Hind Pocket Books G.T.Road, Shahadra Delhi-110095","DELHI","DELHI","8377007962","nexadg@competent-maruti.com"
"JAGMOHAN AUTOMOTIVES PVT LTD","Plot no.41, Road No.35 West Punjabi Bagh, Delhi -110026","DELHI","DELHI","7290054930","nexa.delhi@mohanindia.co.in"
"Rohan Motors","C-11,SECTOR - 1,NOIDA","NOIDA","UTTAR PRADESH","9811374737","rmlnexa@rohanmotors.co.in"
"Vipul motors pvt. Ltd.","D-3, Ashok  Nagar, Main Wazirabad Road, Village Gokulpuri Delhi - 110093","DELHI","DELHI","0119870194313","gm_nexadelhi@vipulmotors.com"
"Fair deal Cars private limited","C7 sector 10 Noida 201301","NOIDA","UTTAR PRADESH","120-9953993450","gmnexanoida@fairdealvehicles.comÃ¡"
"Motorcraft Sales Private Limited","PLOT NO. 64/6/2, SITE IV SAHIBABAD INDUSTRIAL AREA, ADJACENT TO HOTEL CONTRY INN, SAHIBABAD.","GHAZIABAD","UTTAR PRADESH","+91-8130582222","sm.nexa@motorcraft.in"
"Krish Automotors","SSG, MAJESTY MALL, PLOT NO. 2 ROAD NO.43, GURU HARKISHAN MARG, PITAMPURA","DELHI","DELHI","7838555047","scross.krish@gmail.com"
"DD MOTORS","B-1/629, MAIN NAJAFGARH ROAD JANAKPURI, NEW DELHI-110058","DELHI","DELHI"," 9081900800","info@ddnexa.com"
"PREM MOTORS","F-3/1, OKHLA INDUSTRIAL AREA, PHASE-1","DELHI","DELHI","11-42900000","okhla.nexa@premmotors.com"
"SAYA AUTOMOBILES LTD","Saya Automobiles Ltd,Unit No G-17-20, Jaksons Crown Heights, Plot No 3B1, Twin District Centre, Sec 10, Rohini, New Delhi - 110085","DELHI","DELHI","11-9582777477","ceonexasaya@gmail.com"
"Vipul Motors","H-153, SECTOR-63,","NOIDA","UTTAR PRADESH","9599814775","scross.noida@vipulmotors.com"
"Magic Auto","METRO STATION SECTOR - 9 DWARKA,New Delhi","DELHI","DELHI","7290075604","nexa@magicmaruti.com"
"Competent Automobiles","Plot No 63-70, Mohit Nagar, Opp. NSIT, Dwarka Road, New Delhi-110078","DELHI","DELHI","8860011600","nexa.anand@amarcars.net"
"Pasco Automobiles","SHOP NO. 24,25,26,PLATINA,OPPOSITE BRISTOL HOTEL,SECTOR-28 M.G. ROAD,SIKANDARPUR,Gurgaon","GURGAON","HARYANA","9711290001","scross@pasco.in"
"Pasco Automobiles","14/6, Mathura road Faridabad","FARIDABAD","HARYANA","9711290001","gm.nexafbd@pasco.in"
"PREM MOTORS","PLOT NO. 95, IDC, OPPOSITE SECTOR-14","GURGAON","HARYANA","124-4440000","ggn.nexa@premmotors.com"
"ROHAN MOTORS LTD","Rohan Motors Ltd, Khasra No. 46, Delhi Meerut Road , Ghaziabad- 201003","GHAZIABAD","UTTAR PRADESH","9599040601","nexamorta@rohanmotors.co.in"
"TR Sawhney Motors","G-1, Ground Floor, Orchid Center, Golf Course Road, Sec -53, Gurgaon","GURGAON","HARYANA","9999525740","nexagurgaon@trsawhneymotors.com"
"SIDHI VINAYAK VEHICLES PVT LTD","PLOT NO 1, NEAR METRO PILLAR No. 765, MIE FREEHOLD (PHASE 2), MAIN ROHTAK ROAD, BAHADURGARH, HARYANA - 124507","BAHADURGARH","HARYANA","7027871150/7027871151","srm.nexa@svvpl.com; qm.nexa@svvpl.com"
"Competent Automobiles Co. Ltd.","Plot No. 1, MIE Phase-2, Near Tikri Border Metro Station, Main Delhi-Rohtak Road, Bahadurgarh","BAHADURGARH","HARYANA","8929532773/ 7290091150","smnexabhdr@competent-maruti.com"
"Vipul motors pvt. Ltd.","AG-001,002,003,010,011,012, Tower A, Pioneer Urban Square, Sector-62, Golf Course Ext Road, Gurgaon","GURGAON","HARYANA","9205899706","gm_nexagrg@vipulmotors.com"
"BVA AUTO PVT LTD","5D, 8E Railway Road NH5, NIT Faridabad - 121005","FARIDABAD","HARYANA","1294121212","smnexa@tcsmaruti.com, CONTACTnexa@TCSMARUTI.COM"
"RANA MOTORS PVT LTD","Rana Motors Pvt Ltd,Plot no. 107-108,Shanti Nagar,Rajiv Chowk,NH-8,Gurugram-122001","GURGAON","HARYANA","8585991111","nexa.ggn@ranamotors.in"
"Vipul Motors","FUNCITY MALL, SHOPPING MALL PROPERTY NO.2, SECTOR-20S,AJRONDA CHOWK,","FARIDABAD","HARYANA","9599814771","scross.fbd@vipulmotors.com"
"DD Motors (A Div of DD Industries Limited)","Khasra no-25/12/1 PIAO MANIYARI ROAD,RAJIV COLONY, NARELA ,NEW DELHI-110040","DELHI","DELHI","9081900800","info@ddnexa.com"
"Vipul motors pvt. Ltd.","Vipul Motors Pvt Ltd, Sub Division No.3, Industrial Plot No. 34, NIT Faridabad, 121002, Haryana","Faridabad","HARYANA","9599814771","scross.fbd@vipulmotors.com"
"Competent Automobiles","Nexa Sohna Road, Opp Hotel Fortune, Sohna Road, Gurgaon, Haryana","GURGAON","HARYANA","9899339336",""
"Pasco Sohna","Gurgaon - Sohna Road, Vill Alipur, Sohna, Gurgaon - 122102","SOHNA","HARYANA","7027990501",""
"Rohan Motors Limited","Site 4, Industrial Area, Near P3 Chowk, Kasna Road, India","GREATER NOIDA","UTTAR PRADESH","8744000600","rmlnexa.grn@rohanmotors.co.in"
