"Dealer Name","Address","City","State","Contact"
"Rio Nissan","Ground Floor, Lamba Line, Raksha Vihar, South Andaman - 744103","South Andaman","Andaman & Nicobar Islands","+918001192992"
"Hitech Nissan","No 9/121/1, 3rd Mile Stone, Reniguna Road, Chittoor - 517506","Chittoor","Andhra Pradesh","+919000454634"
"Kantipudi Nissan","S No 202/1A, NH 5, Gandhi Prakash Nagar, East Godavari - 533107","East Godavari","Andhra Pradesh","+919533799799"
"Express Nissan","No B143/3/144/1, Mangalagiri Road, Guntur - 522001","Guntur","Andhra Pradesh","+919121144855"
"Express Nissan","No 59A 1/1/1, KP Nagar, Vijayawada - 520008","Vijayawada","Andhra Pradesh","+919121144848"
"Nigla Nissan","2nd Mile, Pasighat, East Siang - 791102","East Siang","Arunachal Pradesh","+913602258111"
"Nigla Nissan","NH 52 A, Lekhi, Naharlagun, Naharlagun - 791110","Naharlagun","Arunachal Pradesh","+918657731151"
"Binod Nissan","Ground Floor, NH 31, Part 2, Chapaguri, Bongaigaon - 783380","Bongaigaon","Assam","+919706435318"
"SRB Nissan","Ground Floor, Normal School Road, Tarapur, Cachar - 788003","Cachar","Assam","+917506233826"
"Nova Nissan","Ground Floor, Pulibor, Jorhat - 785001","Jorhat","Assam","+917506238836"
"Binod Nissan","Sun City Complex, AT Road, Adabari, Kamrup - 781014","Kamrup","Assam","+918657731139"
"Binod Nissan","Ground Floor, NH 37, Detkuchi, Lalung Gaon, Kamrup - 781034","Kamrup","Assam","+917045690355"
"Dhaanvi Nissan","Ground Floor, AT Road, Senchowa, Nagaon - 782002","Nagaon","Assam","+917045690358"
"Dhaanvi Nissan","Ground Floor, Dekargaon, Baruahchuburi, Sonitpur - 784501","Sonitpur","Assam","+919435060613"
"Far East Nissan","NH 37, Banshbari, New development Area, Hijuguri, Tinsukia - 786125","Tinsukia","Assam","+917506236932"
"Goberdhan Nissan","Manjhari Nikunj, Aamgola, Muzaffarpur - 842001","Muzaffarpur","Bihar","+917506238695"
"Nutun Nissan","Khata No 352, Plot No 2129, New Bypass, Saristabad, Anisabad, Patna - 800002","Patna","Bihar","+917506238744"
"Urja Nissan","Ground Floor, Saguna More, Patna - 801503","Patna","Bihar","+917781016215"
"Joshi Nissan","Plot No 16, Phase 1, Industrial Area, Chandigarh - 160002","Chandigarh","Chandigarh","+911725305300"
"Shiva Nissan","Ground Floor, GE Road, Raipur - 492001","Raipur","Chhattisgarh","+917045690334"
"Pramukh Nissan","Survey No 15/1, Shade No1, Silvassa Bhaild Main Road, Silvassa - 396230","Silvassa","Dadra & Nagar Haveli","+919099937307"
"Sparsh Nissan","No 29, Shivaji Marg, Moti Nagar, New Delhi - 110015","New Delhi","Delhi","+919769643709"
"YOUWE Nissan","No F 1/9, Phase 1, Okhla Industrial Area, Okhla, New Delhi - 110020","New Delhi","Delhi","+919769548528"
"Zedex Nissan","Plot No 89, FIE, Patparganj Industrial Area, New Delhi - 110092","New Delhi","Delhi","+919769515646"
"AM Nissan","Plot Nos 49/3 & 49/4, NH 17, Salcete, South Goa - 403722","South Goa","Goa","+917045690340"
"Central Nissan","Ground Floor, Shivalikishan, Ambawadi, Ahmedabad - 380015","Ahmedabad","Gujarat","+917045690314"
"Pure Nissan","Sun Embark, GF, Vishwas City 1, SG Highway, Sola, Ahmedabad - 380054","Ahmedabad","Gujarat","+917045690317"
"Acuity Nissan","Ground Floor, NH 8, Navayard Chhani Rd, Anand Rojitra Rd, Anand - 388120","Anand","Gujarat","+912652772999"
"Rajarshi Nissan","No 6, Rajkot Road, Chandramani, Bhavnagar - 364004","Bhavnagar","Gujarat","+912786545151"
"IB Nissan","Plot No 79, GIDC, KPT Port, Sector 11, Gandhidham - 370201","Gandhidham","Gujarat","+919228001414"
"Sai Aarav Nissan","Ground Floor, Palanpur Bypass Junction, Highway Road, Mehsana - 382710","Mehsana","Gujarat","+917045690348"
"Pramukh Nissan","Ground Floor, NH 8, Grid Char Rasta, Kabilpore, Navsari - 396424","Navsari","Gujarat","+919825307771"
"IB Nissan","Ground Floor, NH 8B, Gondal Road, Vavdi, Rajkot - 360001","Rajkot","Gujarat","+918657731119"
"IB Nissan","NH 8B, Gondal Road, Vavdi, Rajkot - 360001","Rajkot","Gujarat","+919228001313"
"Pramukh Nissan","Cooperative Service Society, Block 22, Udhana Magdalla Rd, Khatodara, Surat - 394210","Surat","Gujarat","+919879500275"
"Pramukh Nissan","Ground Floor, Surat Dumas Road, Surat - 395007","Surat","Gujarat","+917045690318"
"Central Nissan","Plot No 49, Wadhwan Surendranagar Rd, Surendranagar, Surendranagar - 363030","Surendranagar","Gujarat","+919706435318"
"Aster Nissan","Plot No 986/32, Makarpura Main Road, GIDC, Vadodara - 390010","Vadodara","Gujarat","+919712348000"
"Acuity Nissan","H No 8, Navayard, Old Chhani Road, Vadodara - 390024","Vadodara","Gujarat","+917045690326"
"Pramukh Nissan","City Survey No 132, NH 8, GIDC, Valsad - 396191","Valsad","Gujarat","+917045690319"
"Velocity Nissan","NH 1, GT Road, Ambala - 134003","Ambala","Haryana","+918657588168"
"RPJ Nissan","Ground Floor, Sirsa Road, Fatehabad - 125050","Fatehabad","Haryana","+917045690664"
"Vertex Nissan","K No 1079/1013, Sohna Road, Sector 66, Gurgaon - 122018","Gurgaon","Haryana","+917506238682"
"Elina Nissan","NH 10, Delhi Hisar Bypass Road, 11 KM Stone, Hisar - 125001","Hisar","Haryana","+911662222333"
"Malwa Nissan","No 118/1, KM Stone, GT Road, Karnal - 132001","Karnal","Haryana","+919769989530"
"BA Nissan","Ground Floor, Sukhpura, Rohtak - 124001","Rohtak","Haryana","+919769631485"
"RPJ Nissan","Ground Floor, NH 9, Hissar Road, Sirsa - 125055","Sirsa","Haryana","+919769726907"
"M R Nissan","Ground & 1st Floor, Matour Chowk, Ghurkari, Kangra - 176001","Kangra","Himachal Pradesh","+919769934570"
"RC Nissan","Platinum Mall, NH 22, Anji, Solan - 173211","Solan","Himachal Pradesh","+919769847498"
"Shuhul Nissan","Ground Floor, National Highway, Sainik Colony, Jammu - 180010","Jammu","Jammu & Kashmir","+917506235815"
