"Dealer Name","Address","City","State","Pincode","Contact","Email"
"GENNEXT MOTORS(ANDAMANS) PVT LTD","ROOM NO 14, ATUL SMRITI SAMITY COMPLEX (BENGALI CLUB), MIDDLE POINT, SHADIPUR JUNCTION","Port Blair","Andaman","744101","03192 - 239889","sagar.khurana@hotmail.com"
"RITHVIKAA CARS PVT LTD","SY NO 159/3, NH-7, BYE PASS ROAD, OPP SAKSHI PUBLICATIONS, KAKKALA PALLI, MARUTHINAGAR","Anantapur","Andhra Pradesh","515004","8096955774","admin@rithvikaagroup.com"
"JASPER INDUSTRIES PVT LTD-3008530","R K COMPLEX, UNDI ROAD","Bhimavaram","Andhra Pradesh","534202","08816-224421/251113","vjwjilcars@sancharnet.in;suresh.r@jasperindustries.com"
"VIJAYABHARATHI AUTOMOBILES PRIVATE LIMITED","OPP: YAMAHA SHOWROOM, NEAR SAIBABA TEMPLE, KATTAMANCHI","Chittoor","Andhra Pradesh","","7680073805","vbapvtltd@gmail.com"
"JASPER INDUSTRIES PVT LTD-3008530","DOOR NO. 22–D-3-4 CANAL ROAD, NEAR COSMOPOLITON CLUB, RK PURAM","Eluru","Andhra Pradesh","534001","08812-241949","jilelpcd@jasperindustries.com;suresh.r@jasperindustries.com"
"JASPER INDUSTRIES PVT LIMITED-3008520","SURVEY NO.179, PLOT NO.4, BLOCK NO.6, PHASE IV, AUTO NAGAR, PEDAKAKANI","Guntur","Andhra Pradesh","522509","0863-2266112","kanak@jasperindustries.com"
"HAROON CARS PVT LTD","D. NO 3/168-5-8, CHINNA CHOWK","Kadapa","Andhra Pradesh","516002","7995019686","mujeeb5552@gmail.com"
"HAROON CARS PVT LTD","96/3/35/261, NH-7, OPP TGV PETROL BUNK","Kurnool","Andhra Pradesh","518006","9666635410","arshad.basha@gmail.com"
"VIJAYABHARATHI AUTOMOBILES PRIVATE LIMITED","D.NO:10/46, SADASIVA NAGAR, OLD R.T.O OFFICE, PUNGUNOOR ROAD, BASINIKONDA","Madanapalle","Andhra Pradesh","","7680073806","vijayabharathi.rsm@gmail.com"
"HAROON CARS PVT LTD","OPP. ITC TOBACO COMPANY, BESIDE RAPHA HOSPITAL, BOMMALASATRAM ROAD","Nandyal","Andhra Pradesh","518501","7995019669","harooncars.ndl@gmail.com"
"VIJAYABHARATHI AUTOMOBILES PRIVATE LIMITED","SURVEY NO. 252/2A 3A 253/3A, THANAPALLI ROAD, NEAR MARKET YARD","Tirupati","Andhra Pradesh","517503","9866196669","vbapvtltd@gmail.com"
"JASPER INDUSTRIES PVT LTD-3008530","D. NO 54-15-5, NH-5, SRINIVASA NAGAR, BANK COLONY","Vijayawada","Andhra Pradesh","520008","0866-2544436","kanak@jasperindustries.com"
