"Dealer Name","Address","City","State","Pincode","Contact"
"Harsha Toyota","Survey No. 112-10 B1, Beside Bhaskara Fertilizes, Gooty Road, NH 44, Loluru Cross(V), Gooty Road, NH 44, Loluru Cross(V),","Anantapur","Andhra Pradesh","515731","+91 40443 74437;+91 40399 94999"
"Leela Krishna Toyota","21-5-27/5, Opposite Venkateswaraswamy Temple, Narasimhapuram - Undi Road","Bhimavaram","Andhra Pradesh","534203","+91 1800 3000 3984"
"Radha Madhav Toyota","Radha Madhav Automobiles Pvt. Ltd, Sy. No. 647/A/B, NH 5, Ankireddypalem, Lal Puram, Ankireddypalem, Lal Puram","Guntur","Andhra Pradesh","522005","+91 90102 50008"
"Harsha Toyota","Harsha Auto Agencies Pvt Ltd, Door No: 38/173, Revenue Ward No:38, Madras Road, Kadapa","Kadapa","Andhra Pradesh","516002","+91 40399 97999"
"Leela Krishna Toyota","Sy. No. 33/P, Besides Chitra Marbles, Rayudupalem, Rayudupalem","Kakinada","Andhra Pradesh","533005","+91 90107 80006;1800 3000 3984"
"Harsha Toyota","Harsha Auto Enterprises Pvt. Ltd., Survey No. 233/1C, Besides Jubilee Petrol Pump, Besides Jubilee Petrol Pump,","Kurnool","Andhra Pradesh","518003","+91 40443 74437;+91 40399 97999"
"Radha Madhav Toyota","EKGDVA Building, Shop No. 4, Tagore Road, Tagore Road,","Machilipatnam","Andhra Pradesh","521001","+91 99 63 552517"
"Harsha Toyota","Harsha Automotive Pvt. Ltd., Survey No. 83, NH 5, Kakaturu Village, Venkatachalam(MD),","Nellore","Andhra Pradesh","524320","+91 40443 74437;+91 40399 97999"
"Radha Madhav Toyota","North Bye Pass Road Junction, Opp Mangamma College, NH 5, Prakasham District,","Ongole","Andhra Pradesh","523002","+91 1800 3000 3984;+91 90103 50008"
"Leela Krishna Toyota","Leela Krishna Automobiles Pvt. Ltd, Sy. No. 560/2B, NH 5, Palacherla Village  Opp. Auto Nagar, NH 5, Palacherla Village  Opp. Auto Nagar","Rajamundry","Andhra Pradesh","533103","+91 90107 80006;1800 3000 3984"
"Leela Krishna Toyota","Shop No. 3, Padmavathi Kalyanmandapam, Peddapadu Road","Srikakulum","Andhra Pradesh","532001","+91 1800 3000 3984;+91 99591 11426"
"Harsha Toyota","Harsha Auto Agencies Pvt. Ltd., Door No. 8-103, Renigunta - Chittoor Bypass Road, Renigunta - Chittoor Bypass Road,","Tirupati","Andhra Pradesh","517520","+91 40443 74437;+91 40399 97999"
"Radha Madhav Toyota","No 4-151, NH-5, Prasadampadu","Vijayawada","Andhra Pradesh","521108","+91 90101 50008;1800 3000 3984"
"Leela Krishna Toyota","D No. 164/1, Paradesipalem, Madhurawada","Visakhapatnam","Andhra Pradesh","530041","+91 99591 11426"
"Leela Krishna Toyota","54-10-9, Maddilapalem, Isukathota","Visakhapatnam","Andhra Pradesh","530022","+91 1800 3000 3984;+91 99591 11426"
"Camdir Toyota","Camdir's Motors LLP, Lekhi Village, Near Nigla Nissan, NH415, Naharlagun,","Naharlagun","Arunachal Pradesh","791110","+91 81318 20945"
"Gargya Toyota","Village- Simlajhar, PO - Moutupuri, Dist. Baksa,","Barpeta Road","Assam","781316","+91 96780 73205"
"Borah Toyota","Borah Motors Pvt. Ltd., NH 37, Kumaranichiga, New Tekela Gaon,","Dibrugarh","Assam","786008","+91 94 35 745226;+91 373 237 0051"
"Gargya Toyota","Gargya Autocity Pvt. Ltd., Opp. DTO Kamrup (M), NH 37 (Guwahati Bypass), Betkuchi,","Guwahati","Assam","781040","+91 99541 98900"
"Gargya Toyota","Gargya Autocity Pvt. Ltd., Old NH 37, Near SBI Khutikotia Branch, Near SBI Khutikotia Branch,","Nagon","Assam","782002","+91 94355 52168"
"Podder Toyota","Chirukandi Road , Ramnagar,","Silchar","Assam","788003","+91 3842 268 780"
