"Dealer Name","Address","City","State","Pincode","Contact","Email"
"Volkswagen  Moga","Volkswagen Moga Ludhiana Road Near Bugipura Chowk","Moga","Punjab","142001","9780013825","salesmoga@vw-lallymotors.co.in"
"Volkswagen Ahmedabad, Ashram Road","B-002, Sakar-7, Nehru Bridge Corner, Ashram Road,  Ahmedabad","Ahmedabad","Gujarat","380009","9377770011","nisarg@vw-automark.co.in ; marketing@vw-automark.co.in ; customerconnect@vw-automark.co.in ; anand.k@landmarkindia.net"
"Volkswagen Ahmedabad, S.G. Road","Nr. Gujarat High School Next to Sola  Bridge S.G. Road Ahmedabad","Ahmedabad","Gujarat","380081","9099044390 / 079 66120000","nisarg@vw-automark.co.in ; marketing@vw-automark.co.in ; customerconnect@vw-automark.co.in ; anand.k@landmarkindia.net"
"Volkswagen Ahmednagar, MIDC","No. B -10/1/1, MIDC,   Ahmednagar","Ahmednagar","Maharashtra","414001","7304567777 / 0241 2345577","info@vw-hkmpl.co.in"
"Volkswagen Alappuzha, VALIYA KALAVOOR TEMPLE","8/511-B, EVM MOTORS AND VEHICLES INDIA P LTD,  OPP VALIYA KALAVOOR TEMPLE,MARARIKULAM, KALAVOOR  Alappuzha","Alappuzha","Kerala","688522","9995481210 / 9995481210","salesmanager.alpy@vw-evmmotors.co.in"
"Volkswagen Ambala, Jagadhari Road","9 KM Stone,Village Khuddi,  Teh. Jagadhari Road Ambala Cantt. Ambala","Ambala","Haryana","133104","",""
"Volkswagen Amritsar, G.T Road","Near Canal,G.T.Road, Hussainpura (Opposite Universal motors,M&M) Amritsar","Amritsar","Punjab","143001","9501401110 / 0183 3076666","salesasr@vw-bhagat.co.in"
"Volkswagen Aurangabad, Adalat Road","Dhoot Motors Pvt Ltd, Adalat Road,","Aurangabad","Maharashtra","431005","0240 6617777 / 0240 6617778 / 0240 6617779 / 9823338800","sm.sales@vw-dhootmotors.co.in"
"Volkswagen Bangalore North (Hebbal)","City Centre Building, No.79/2, Hennur Bellary Road,Outer Ring Road, Hebbal Bangalore","Bengaluru","Karnataka","560077","080 61616600 / 080 61616601","bipin.kumar@vw-ppsmotors.co.in"
"Volkswagen Bangalore North, Nagawara","#147/1, Bresides Elements Mall, Thanisandra Main Road, Nagawara","Bengaluru","Karnataka","560077","9121006723 / 080 22147000","pradeep.kumar@vw-ppsmotors.co.in"
"Volkswagen Bangalore, Hosur Road","104/ 1 Singasandra Village 13 KM, Hosur Road  Bangalore","Bengaluru","Karnataka","560068","8105584506 / 9513964015 / 7625014773","gm.sales@vw-elitemotors.co.in"
"Volkswagen Belgaum, Bauxite Road","Plot No : 5 B, Kangralli Industrial Area, Bauxite Roadpposite Trident MBA College Near Hindalco, Belgaum","Belgaum","Karnataka","590010","7760984534 /  7337897299","saleshead@vwbgm-kmcpl.co.in  "
"Volkswagen Bengaluru Central","PPS Motors PVT LTD, Classic Building, No.24/5 Shanthala Nagar, Richmond Road","Bengaluru","Karnataka","560024","080 41465466 / 080 41465467","salesmanager.richmond@vw-ppsmotors.co.in"
"Volkswagen Bhatinda, Malout Road","Malout Road    Bhatinda","Bathinda","Punjab","151001","8968455844 / 0164 3076666","salesbat@vw-bhagat.co.in"
"Volkswagen Bhopal, Hoshangabad Road","Plot No 1052,  Shiv Mandir, Ahmadpur Kalan, Hoshangabad Road Bhopal","Bhopal","Madhya Pradesh","462026","0755 4929090 / 9669697970 / 8889622289","salesbhopal@vw-successautomobile.co.in"
"Volkswagen Bhubaneswar, Mancheshwar Industrial Estate","Bharat Motors Ltd. NH-5, Pahal.","Bhubaneswar","Odisha","752101","8599011591 / 0674 3251587","sales@vw-bharats.co.in"
"Volkswagen Calicut, Athanikkal","38/878, NH#17 Athanikkal  Calicut","Kozhikode","Kerala","673005","9544202080 / 0495 3300000","salesmanager.clt@vw-phoenix.co.in"
"Volkswagen Capital, Ballabgarh / Mathura Road","21/3pp. Metro Pillar No. CP 11-21, Near Sant Surdas Metro Station, Mathura Road, Ballabgarh","Faridabad","Delhi","121004","9555225000","jaibeer.s@vw-automark.co.in"
"Volkswagen Chandigarh, Plot no.9 Industrial Area","Plot No. 9, Industrial Area, Phase-1, Chandigarh","Chandigarh","Chandigarh","160002","9878079999 / 0172 4050000","smchd@vw-lallymotors.co.in"
"Volkswagen Chennai, Anna Salai (Mount Road)","G.R. COMPLEX No: 808 Anna Salai (Mount Road) Nandanam","Chennai","Tamil Nadu","600035","9840086104","gm.sales@vw-kuncapital.co.in/sm.nandanam@vw-kuncapital.co.in"
"Volkswagen Cochin, Maradu","Building No. 2/ 4 CD Opp. BTH Sarovaram Kannadikkadu, Maradu Cochin","Kochi","Kerala","682304","8111880905 / 0484 4040404","agmsales@vw-evmmotors.co.in"
"Volkswagen Coimbatore, Mettupalayam road","Essorpee Mill Compound  54/1, Mettupalayam road,  Coimbatore","Coimbatore","Tamil Nadu","641030","9500989507","sales@vw-ramanicars.co.in"
"Volkswagen Deccan, Alkapuri Cross Road","Plot no 8 Alkapuri Cross Road,Survey no 102/3/B ,  Nagole , Uppal Mandal,Ranga Reddy District Hyderabad","Hyderabad","Telangana","500035","7799888702 / 040 65177771 / 040 65177772 / 040 65177773","krishnaprasad.vangari@vw-modyauto.co.in"
"Volkswagen Dehradun, Haridwar Bye Pass Road","DDPM Tower, Haridwar Bye Pass Road, Ajabpur Khurd Dehradun","Dehradun","Uttarakhand","248001","0135  2533050-54","ceo@vw-dehradun.co.in"
"Volkswagen Dhule, Near Gurudwara","Royal Motors, Gat No 189, Plot No. 13,14,  Old Mumbai Agra Highway,  Near Gurudwara, Post. Mohadi,  Dhule","Dhule","Maharashtra","424311","8411022990 / 02562 281890","sales@vw-aakashwheels.co.in"
"Volkswagen Downtown Mumbai, Prabhadevi","Sumer Apartments, Shankar Ghanekar Marg , Prabhadevi Mumbai","Mumbai","Maharashtra","400025","9167876262 / 022 24228282 / 022 24193999","sales@vw-shamancars.co.in"
"Volkswagen Erode, Perundurai Road","S.F. No: 327/2B, Perundurai Road   Erode","Erode","Tamil Nadu","638012","9629833777","ananth@vw-ramanicars.co.in"
"Volkswagen Goa","38/13ld National Highway No. 17, Porvorim, Bardez","Porvorim","Goa","403501","8055400200","salesmanager.goa@vw-modyautocorp.co.in"
"Volkswagen Guntur, Auto Nagar","Lakshmi Motors,  Plot no – 319, Auto Nagar,  Guntur","Guntur","Andhra Pradesh","522001","8297464646 / 0863 2330001 / 0863 2330002","sm_rl@vw-lmautocars.co.in"
"Volkswagen Gurgaon, MG Road","G1,  Vatika City Point,  MG Road  Gurgaon","Gurugram","Delhi","122002","0124 4768888 / 8750792020","saleshead@vw-frontier.co.in"
"Volkswagen Gurugram, Sohna Road","24,25 &26 Ground Floor, Scotish Mall , Sohna Road,   Gurgaon","Gurugram","Delhi","122001","9205479001 / 9205479001","gm.sales@vw-triumphauto.co.in"
"Volkswagen Guwahati, Lalmati","NH-37, Barasajai,<br/>Beltola, Lalmati","Guwahati","Assam","781029","7604077197 / 7604077197","surajit.acharjee@vw-oslexclusive.co.in"
"Volkswagen Gwalior, Jhansi Road","Vidya Complex Jhansi Road  Gwalior","Gwalior","Madhya Pradesh","474011","8966905700 / 0751 2435719 / 0751 4013128","sales@vw-samarthcars.co.in"
"Volkswagen Haldwani, Rampur Road","Opposite vishnu puri gali, Rampur Road , Haldwani 263 139      Haldwani","Haldwani","Uttarakhand","263139","9917500062 / 5946 285222 / 5946 285223","saleshead@vw-maasheetla.co.in"
"Volkswagen Hi Tech City","Sy. No 60,71 to 77 Plot no 14, 29, 30, Kondapur Villege, Serlingampally Mandal, RR Dist","Hyderabad","Telangana","500081","040 23118499","sn.rao@ppsmotors.in"
"Volkswagen Himayatnagar, SI Square","Sl Square, 3-5-886/1-4,  Ward no. 3, block no. 5, Himayatnagar  Hyderabad","Hyderabad","Telangana","500029","7799888702 / 040 23262250 / 040 23262251 / 040 23262252 / 040 23262253","sm.himayathnagar@vw-modyauto.co.in"
"Volkswagen Hisar, Delhi Hissar Bye Pass Road","Khata No. 112, Khasra No. 47 / / 6(8-0), 15(8-0), 16(8-0), 48//10/2(6-15), 11(8-0), 20(8-0),  10th KM Stone, Delhi Hisar Bye-Pass Delhi Road, Village Satrod, Hissar","Hisar","Haryana","125001","9992342000 / 9034619999 / 9034629999","info@vw-smotors.co.in"
"Volkswagen Hoshiarpur, Jaladhar Road","Village Chak - Gujran , P.O. Piplanwala , Jalandhar Road , Near Sonalika","Hoshiarpur","Punjab","146022","8427099999 / 1882 308308","smhsp@vw-lallymotors.co.in"
"Volkswagen Hubli, Hubli-Dharwad Road","No.55/1-B,Opposite, A.P.M.C.,Amargol,   Hubli-Dharwad Road   Hubli","Hubli","Karnataka","580025","7760984531 / 7760984540","saleshead@vw-kmcpl.co.in"
"Volkswagen Hyderabad, Jubilee Hills","Plot No.565B, Road No. 92, Jubilee Hills, Hyderabad","Hyderabad","Telangana","500033","040 23607767 / 040 23607768 / 040 23607769","sureshr@vw-hyderabad.co.in"
"Volkswagen Indore, AB Road","Khata No. 55,  Khasra No. 20 Near Police Staion Lasuriya Mori AB Road Indore","Indore","Madhya Pradesh","452010","9771432900 / 0731 4002201 / 0731 4002202","sales@vw-successautomobile.co.in"
