"Dealer Name","Address","City","State","Pincode","Contact","Email"
"ANDAMAN MOTORS PRIVATE LIMITED-1009300","C/O S RAJU ABERDEEN BAZAR, PORT BLAIR","Port Blair","Andaman","744101","9434262124/13192-232963/ 167","mghani@rediffmail.com"
"VISHNU CARRIERS PVT LTD","SKBR COLLEGE ROAD, KONKAPALLI, AMALAPURAM","Amalapuram","Andhra Pradesh","533201","98481968791","vcpldirector@gmail.com"
"DHANVI MOTORS INDIA PVT LTD","D NO. 6-5-575, MAIN ROAD,, RAM NAGAR,","Anantapur","Andhra Pradesh","515004","9440286353","dhanvimotorsindia@gmail.com"
"MERU AUTOMOBILES PVT LTD","DOOR NO. 14-225-EU,, KADIRI TOWN BY PASS ROAD, KADIRI","Anantapur","Andhra Pradesh","515591","9492098267",""
"JASPER INDUSTRIES LTD.","2/15/25/5,R K COMPLEX,UNDI ROAD, NDI ROAD,BHIMAVARAM,","Bhimavaram","Andhra Pradesh","534202","9248022666","yj.naidu@jasperindustries.com"
"JASPER INDUSTRIES LTD.","D.NO:  CHIKKALA SATYANARAYANA COMPLEX,, MARUTHI NAGAR","Chintalapudi","Andhra Pradesh","534460","9441113006","acevij@jasperindustries.com"
"VARALAKSHMI AUTOMOBILES PVT LTD","D.NO. 23/2/23, GATTUVARI STREET, OPP: NAVATHA TRANSPORT, CHIRALA","Chirla Dinne","Andhra Pradesh","523155","92464 23031","vivek@ksngroup.in"
"VARALAKSHMI AUTOMOBILES PVT LTD","O V ROAD, OPP LORRY OWNER'S ASSOCIATION,, KANDUKURU TOWN, PRAKASAM DIST,","Chittoor","Andhra Pradesh","523105","9963337495","bhaskar@ksngroup.in"
"VARALAKSHMI AUTOMOBILES PVT LTD","PLOT NO 13, NEAR GOVT EMPLOYMENT EXCHANGE OFFICE,, KONGA REDDY PALLI, CHITTOOR,","Chittoor","Andhra Pradesh","517001","80096696627","saivagnash@rediffmail.com"
"VARALAKSHMI AUTOMOBILES PVT LTD","LINEMAN RAMAMURTHY BUILDING,, NEAR NERNAPALLI, PALAMANER ROAD,","Chittoor","Andhra Pradesh","517424","8096690017","pradeep@ksngroup,in"
"SBAK AUTOMOBILES PVT LTD-1007640","DOOR NO. 8/1025, ALMAPET,, KADAPA TOWN,","Cuddapah","Andhra Pradesh","516001","9666635410","arshad.basha@gmail.com"
"MERU AUTOMOBILES PVT LTD","COURT ROAD, L P CIRCLE,, CITY - DHARAMVARAM, DIST - ANANTAPUR,","Dharmavaram","Andhra Pradesh","515671","9866310089",""
"SRI RAMDAS MOTOR TRANSPORT LTD.","391/4,  BESIDE AUTO NAGAR ROAD, N H 5,, DIWANCHERUVU, RAJANAGARAM MANDAL, RAJAHMUNDRY","East Godavari","Andhra Pradesh","533294","8008577373/0883-246815","cvdwsrjy@srmt.com"
"JASPER INDUSTRIES LTD.","RS NO 119/1, PLOT NO 112 & 113, POSTAL COLONY, SRINIVASA CO-OERATIVE  HOUSE BLDG SOC,ELURU","Eluru","Andhra Pradesh","534003","9246477979","Sharieff@jasperindustries.com"
"VARALAKSHMI AUTOMOBILES PVT LTD","SERVEY NO:644, ONGOLE HIGHWAY ROAD,, NR. CHANIKYA RESIDENTIAL SCHOOL,","Giddaluru","Andhra Pradesh","523357","9248741917","vlauto09@gmail.com"
"JASPER INDUSTRIES LTD.","RS NO 225/5, D.NO: 1/20-D1, GRANDHI COMPLEX,, BYPASS ROAD, GUDIVADA","Gudivada","Andhra Pradesh","521301","9248022666","yj.naidu@jasperindustries.com"
"JASPER INDUSTRIES LTD.","D.NO. 8/24-35/4, MOHAMED JONY NAGAR,, MANGALGIRI ROAD","Guntur","Andhra Pradesh","522001","9246477979","shareieff@jasperindustries.com"
"VISHNU CARRIERS PVT LTD","D.NO:7-14-30, PALLA APPARAO COMPLEX,, NEAR PANTHULAGARI MEDA, GAJUWAKA,","Gurajala","Andhra Pradesh","530026","","vishnucarriers@rediffmail.com"
"MERU AUTOMOBILES PVT LTD","H.NO.9/1/3B, OPP: PALLA RESIDENCY,, PANDU RANGA NAGAR,","Hindupur","Andhra Pradesh","515201","",""
"JASPER INDUSTRIES PRIVATE LIMITED-1004850","SHOP NO 09 & 10, PLOT NO 41,, PHASE -1 IDA, JEEDIMETLA, HYDERABAD,","Hyderabad","Andhra Pradesh","500055","9640808097","saelsjeedimetla@jasperindustries.com"
"VISHNU CARRIERS PVT LTD","35/7/8/9, RAMANAYYAPETA VILLAGE,, SARPAVARAM, KAKINADA","Kakinada","Andhra Pradesh","533005","9848198791","vishnucarrierspvtltd@gmail.com"
"SRI RAMDAS MOTOR TRANSPORT LTD.","20-1-8, SUBHASH ROAD, POST BOX NO - 42,","Kakinanda","Andhra Pradesh","533001","09247011136","ho@srmt.com"
"SRI RANGA MOTORS PVT LTD","3-45/C, GS NAIDU NAGAR, VIZAG ROAD,, NEAR EASTERN POWER OFFICE, KOTHAVALASA, SRIKAKULAM","Kothavalasa","Andhra Pradesh","532185","7702333975","srirangamootrspvtltd@yahoo.co.in"
"JASPER INDUSTRIES LTD.","D NO 3-55, MAIN ROAD,, OPP. DONBOSCO HIGH SCHOOL, RAITUPETA,","Krishna","Andhra Pradesh","521366","9652762024","acevij@jasperindustries.com"
"JASPER INDUSTRIES LTD.","D-104/1A VIJAYAWADA ROAD,, NU","Krishna","Andhra Pradesh","521105","",""
"MERU AUTOMOBILES PVT LTD","SHOP # 21&22, SAP COMPLEX,, BELLARY CHOWRASTA,","Kurnool","Andhra Pradesh","518004","9949555878","meruauto@rediffmail.com"
"VENKATA SAI AUTOMOBILES PVT LTD","S NO 133/1, NEAR EENADU PRESS,, MAMI DALAPADU (V), NH - #44,","Kurnool","Andhra Pradesh","518004","9848076567","venkatasikni@gmail.com"
"MERU AUTOMOBILES PVT LTD","NH-7 SANTOSH NAGAR (POST), BESIDE IOC JUBLEE PETROL PUMP","Kurnool","Andhra Pradesh","518004","08518 254224","jayaram309@hotmail.com"
"MERU AUTOMOBILES PVT LTD","PAMURAI VILLAGE, VADIYAMPET  POST,N. H. -7","Kurnool","Andhra Pradesh","518381","8554200521","jayaram309@hotmail.com"
"JASPER INDUSTRIES LTD.","15-1-1089/A, GUNTUR ROAD, BESIDE MAHALAXMI COLD STORAGE, MACHARLA,","Macherla","Andhra Pradesh","522426","",""
"JASPER INDUSTRIES LTD.","DOOR NO 17-231-1,ZILLA COURT CENTRE,, BESIDE NAGA SAIBABA TEMPLE","Machilipatnam (r)","Andhra Pradesh","521001","",""
"VARALAKSHMI AUTOMOBILES PVT LTD","NEAR DCP BUNGLOW,, PUNGANOOR ROAD","Madanapalle","Andhra Pradesh","517325","9010299494",""
"JASPER INDUSTRIES PRIVATE LIMITED-1004850","H NO 9-317/B, BALAJI NILAYAM,, MAIN ROAD, MULUGAL, WARANGAL","Madanpalli","Andhra Pradesh","","9010033376","salesmulugu@jasperindustries.com"
"VISHNU CARRIERS PVT LTD","D NO 34-15-30/1A, OPP KAMAT PETROL BUNK,, BY PASS ROAD,","Mandapeta","Andhra Pradesh","533308","9848124566","sureshgrandhi@hotmail.com"
"VARALAKSHMI AUTOMOBILES PVT LTD","CUMBUM ROAD, OPP.SRINIVASA THEATER BRAHMAGIRI TEMPLE,, CITY - MARKAPUR, DIST - PRAKASAM,","Markapur","Andhra Pradesh","523116","9391190109","vlauto40@gmail.com"
"MERU AUTOMOBILES PVT LTD","R S ROAD, OPP. MUNCIPAL OFFICE,, NANDYAL, KURNOOL,","Nandyal","Andhra Pradesh","518501","9989577795","meruauto@rediffmail.com"
"JASPER INDUSTRIES LTD.","D.NO:20-1-58/2,VASAVI COMPLEX,, GUNTUR ROAD,NARASARAOPET,","Narasaraopet","Andhra Pradesh","522601","9248022666","yj.naidu@jasperindustries.com"
"M. G. BROTHERS AUTOMOBILES LTD.","SURVEY NO.35,WOOD COMPLEX,, OPP. 5TH TOWN POLICE STATION","Nellore","Andhra Pradesh","524004","0861 2342939 / 2321845","mgbcvd@mgbrothers.in"
