Dealer Name,Type,Address,City,State,Pincode,Contact,Email
Prince Bajaj,Dealer,"Middle Point, ",Portblair,Andamans,744101,9564789222,d10849@baldealer.com
Smp Bajaj,Dealer,"Ashok Nagar, Bye Pass Road",Amalapuram,Andhra Pradesh,533201,9395512888,d11498@baldealer.com
Rithvikaa Bajaj,Dealer,"Shop No.16 Lakshmi Towers, Opp. Triveni Complex",Anantapur,Andhra Pradesh,515005,9912755774,d10279@baldealer.com
Varun Bajaj,Dealer,"Backside IOC Petrol Pump, Undi Road, West Godavari Dist",Bhimavaram,Andhra Pradesh,534002,8297040888,d11548@baldealer.com
Varun Motors,Branch,"Beside Chaitanyua Techno School, Main  Road, Tanuku, West Godavari",Bhimavaram,Andhra Pradesh,534211,8142511888,d11548@bajajauto.co.in
Varun Motors,Branch,"Bhimavaram Road,, Tallamudunurupadu, Dist : West Godawari, Tadepalligudem",Bhimavaram,Andhra Pradesh,534101,9160572111,d11548@bajajauto.co.in
Varun Motors,Branch,"Opp: Sub-station, Kavur Road,, Dist : West Godawari, Devarapalle",Bhimavaram,Andhra Pradesh,534313,9396604455,d11548@bajajauto.co.in
Tirumala Bajaj,Dealer,"Near RTA Office,, Bye Pass Road",Chirala,Andhra Pradesh,523155,6309601833,d12302@baldealer.com
Bhagyalakshmi Bajaj,Dealer,"2-2311 Kattamanchi, Tirupati Road, Opp.Devi Theatre,",Chittoor,Andhra Pradesh,517001,9908990537,d10468@baldealer.com
Mohana Sai Bajaj,Dealer,"25528, Beside Over Bridge, N R Peta",Eluru,Andhra Pradesh,534002,7799771997,d11838@baldealer.com
Varun Bajaj,Dealer,"D No.124, Panchvati Colony,, New Bye Pass Road",Gudivada,Andhra Pradesh,521301,9885180311,d10529@baldealer.com
Varun Motors,Branch,"NH-16, Allapuram, , Dist : Krishna, Gannavaram",Gudivada,Andhra Pradesh,521101,9640266366,d10529@bajajauto.co.in
Varun Motors,Branch,"Opp: Police Ground Complex,, Lakshmi Talkies Centre,, Machilipatnam, Krishna",Gudivada,Andhra Pradesh,521001,9885110333,d10529@bajajauto.co.in
Srivinayaka Bajaj,Dealer,"D.No.11-194, Opp Cine Square Theater, Amaravathi Road",Guntur,Andhra Pradesh,522034,9100961204,d12172@baldealer.com
Sri Siddhivinayaka Automobile,Branch,"#8-28-204, Plot No. 300A, Phase 1 & 2, Beside SBH Bank, Auto Nagar, Guntur",Guntur,Andhra Pradesh,522001,9100961201,d12172@bajajauto.co.in
Sri Siddhivinayaka Automobile,Branch,"Door No. 24-45, Beside SBI Bank, , Main Road, Koritipadu, Guntur",Guntur,Andhra Pradesh,522007,9100961209,d12172@bajajauto.co.in
Sri Siddhivinayaka Automobile,Branch,"Beside Managomour, Main Road, , Dachepalli, Guntur",Guntur,Andhra Pradesh,522001,9100992655,d12172@bajajauto.co.in
Sri Siddhivinayaka Automobile,Branch,"D. No. 13.1.12, Old Bank Road, Kothapeta, Guntur",Guntur,Andhra Pradesh,522001,9100551152,d12172@bajajauto.co.in
Sri Siddhivinayaka Automobile,Branch,"Next to SBI ATM, , Palnadu Road, Narsaraopet, Dist : Guntur",Guntur,Andhra Pradesh,522601,9908650833,d12172@bajajauto.co.in
Sri Siddhininayaka Automobile,Branch,"Auto Nagar, , Guntur Road,, Mangallagiri, Guntur",Guntur,Andhra Pradesh,522503,9100961208,d12172@bajajauto.co.in
Sri Siddhininayaka Automobile,Branch,"Near Sitara Restaurant, Behind Market Yard, Pidiguralla, Guntur (Dist)",Guntur,Andhra Pradesh,522413,9100961207,d12172@bajajauto.co.in
Sri Siddhi Vinayaka Bajaj,Dealer,"Survey No. 766, 767, 768, D. No. 12-25-99, Beside Leela Mahal, Kothapet",Guntur,Andhra Pradesh,522001,9100551152,d13107@baldealer.com
Rithvikaa Bajaj,Dealer,"RTGT Colony Road, Near APSRTC Bus Stand,, Penugonda Road",Hindupur,Andhra Pradesh,515201,9948666410,d11419@baldealer.com
Vinayaka Bajaj,Dealer,"Plot No. 1-11-12, Survey No. 397-1A,, Penukonda Road, Dist  Anantapur",Hindupur,Andhra Pradesh,515201,,d13052@baldealer.com
Haroon Bajaj,Dealer,"No. 8194 ,Almaspet, Trunk Road",Kadapa,Andhra Pradesh,516001,9951476133,d10649@baldealer.com
Smp Bajaj,Dealer,"Ungaralavari Street, Near Kalpana Centre, Opp Congress Office",Kakinada,Andhra Pradesh,533001,9391611999,d11031@baldealer.com
Sai Motor Plaza,Branch,"D. No. 70-1-17, Opp: Spencers Plaza, Pitapuram Road, Near Sarpavaram Junction, Sarpavaram, Kakinada",Kakinada,Andhra Pradesh,533005,988439999,d11031@bajajauto.co.in
Sai Motor Plaza,Branch,"Kakinada Road, Near RTC Complex, Opp: Petrol Bunk, Dist : East Godavari, Ramachandrapuram",Kakinada,Andhra Pradesh,533255,9346819811,d11031@bajajauto.co.in
