"Dealer Name","Type","Address","City","State","Pincode","Contact","Email"
"Sri Venkateswara Motorcorp","Dealer","R S.NO.1492,NADIPUDI DABA GARDENS, AMALAPURAM - AMBAJIPETA ROAD, AMLAPURAM DISTT. EAST GODAVARI","Amalapuram","Andhra Pradesh","533221","91 95331 42345","d12806@baldealer.com"
"Varun Motors","Dealer","VARUN AUTO PARK, DOOR NO.  88P, BLOCK - D, NH-5,, SRINAGAR, GAJUWAKA,","Visakhapatnam","Andhra Pradesh","530026","91 891-2757835","d12819@baldealer.com"
"Varun Motors","Dealer","DOOR NO  48-14-85 & 86, SRINAGAR,, S.NO  686, RAMA TALKIES JUNCTION,","Visakhapatnam","Andhra Pradesh","530013","91 78880 95957 - 78880 95958","d12435@baldealer.com"
"Nandi Bajaj","Dealer","SHOP NO. 291E-9-6, BESIDE PADMAVATHI NAGAR ARCH,, TEKKE MAIN ROAD, NANDYAL - 518501 DISTT. KURNOOL (ANDHRA PRADESH)","Nandyal","Andhra Pradesh","518501","91 90302 32393","d12836@baldealer.com"
"Mgb Motor","Dealer","76109, BELLARY CHOWRASTHA ,, NEAR SAP CAMP,","Kurnool","Andhra Pradesh","518003","91 8518 259 475","d12371@baldealer.com"
"Sri Ram Enterprises","Dealer","19-3-1K, RENIGUNTA ROAD,, ","Tirupati","Andhra Pradesh","517501","91 877 223 8752","d12335@baldealer.com"
"Sri Siddhi Vinayaka Automobiles","Dealer","PLOT NO. 11  94, OPP. CINE SQUARE, AMRAVATI ROAD,, GORANTLA,","Guntur","Andhra Pradesh","522034","91 96409 94488","d12267@baldealer.com"
"Sri Siddhi Vinayaka Automobiles","Dealer","D. NO. 7-5-51, A1-1A STREET,, GANGANAMMA PETA,","Tenali","Andhra Pradesh","522201","91 91009 61201","d12267@baldealer.com"
"Tirumala Automotives","Dealer","8TH LINE, NEAR BHASHYAM SCHOOL,, RAM NAGAR, ONGOLE,","Ongole","Andhra Pradesh","523001","91 92464 65463","d12648@baldealer.com"
"Varun Motors","Dealer","OPPOSITE SUN SCHOOL, 100 FEET RING ROAD., ","Vizianagaram","Andhra Pradesh","535002","91 80089 00177","d12147@baldealer.com"
"Sai Motor Plaza","Dealer","D.NO 78-2-5, SOMALAMMA GUDI VEEDHI,, G S R  PLAZA, GROUND FLOOR, G-1, SYAMLA NAGAR,","Rajahmundry","Andhra Pradesh","533101","91 77320 44888","d12221@baldealer.com"
"Essencea Automotives P. Ltd","Dealer","SY NUM 189, WARD NUM 11,MEDA MEEDI PANCHAYATH, MYDUKUR ROAD","Proddatur","Andhra Pradesh","516360","91 9121216977","d12935@baldealer.com"
"Haroon Super Bykes","Dealer","8194, 1ST FLOOR, TRUNK ROAD,, ALMASPET,","Kadapa","Andhra Pradesh","516001","91 8562 244 284","d12118@baldealer.com"
"Deekay Automotives","Dealer","26-3-16194A, GROUND FLOOR, MASTERS COLONY,, NEAR VEDAYAPALEM FLYOVER, MINI BYPASS ROAD,","Nellore","Andhra Pradesh","524004","91 88855 66767","d12141@baldealer.com"
"Sri Ram Enterprises","Dealer","DOOR NO 15-24-84, JAYA NAGAR, PALAMANER ROAD,, BESIDE MRF SHOWROOM,","Chittoor","Andhra Pradesh","517001","91 70329 80070","d12994@baldealer.com"
"Kaizen Automotives","Dealer","SURVEY NUMBER 1431 & 1432B, RAJAHAMSA GALAXY HOMES,, RUDRAMPETA BYPASS, ANANTAPUR - 515 005 (ANDHRA PRADESH)","Annantpur","Andhra Pradesh","","91 8554 221523,","d12630@baldealer.com"
"Kaizen Automotives","Dealer","26-4-1356, MELAPUR CROSS,, BESIDE MPDO OFFICE","Hindupur","Andhra Pradesh","515201","91 93922 21523","d12630@baldealer.com"
"Varun Motors","Dealer","D NO 22A-2-5, BSNL OFFICE ROAD,, JUITE MILL,","Eluru","Andhra Pradesh","534006","91  97035 00016","d12706@baldealer.com"
